,languages
"Hindi,Tamil,Telugu,",3
"English,Dutch,French,",3
"Arabic,Turkish,",3
"Yakut,",3
"English,Central Khmer,",3
"English,Armenian,",3
"German,Italian,",3
"Albanian,",3
"Czech,French,",3
"Swedish,Norwegian,",3
"Hindi,Marathi,",3
"Korean,Chinese,",3
"English,German,Russian,",3
"Mandarin,English,Cantonese,",3
"Catalan,English,",3
"English,Arabic,French,",3
"French,Flemish,",3
"Macedonian,",3
"Spanish,Mandarin,",3
"English,Samoan,",3
"Filipino,",3
"English,Finnish,",3
"Norwegian,Danish,",3
"Turkish,French,",3
"Portuguese,Spanish,English,",3
"Japanese,Mandarin,",3
"Basque,Spanish,",3
"Spanish,Nahuatl,",3
"Greek,Russian,",3
"Sotho,",3
"Zulu,English,",3
"English,Filipino,Tagalog,",3
"Croatian,German,",3
"English,Somali,",3
"Lithuanian,English,",3
"American Sign Language,English,",3
"Russian,English,French,",3
"French,Russian,English,",3
"Mandarin,English,Japanese,",3
"Dutch,German,English,",3
"Icelandic,English,",3
"Italian,Arabic,",3
"English,German,Hebrew,",3
"Hindi,Punjabi,English,",3
"Mandarin,Cantonese,Japanese,",3
"Dutch,German,",3
"French,Italian,English,Arabic,",3
"Urdu,Hindi,",3
"Spanish,English,Catalan,",3
"Japanese,Hindi,",3
"Cantonese,Thai,",3
"Romanian,French,",3
"English,Arabic,Hebrew,",3
"German,Hungarian,",3
"Persian,English,",3
"French,Chinese,",3
"English,French,Ukrainian,",3
"French,Romanian,",3
"Norwegian,English,French,",3
"English,Slovak,French,",2
"Greek,French,",2
"French,Bengali,",2
"English,Bulgarian,",2
"English,Micmac,",2
"Slovak,Hungarian,",2
"Italian,Russian,",2
"English,Catalan,Spanish,",2
"English,Russian,Chinese,",2
"German,French,Latin,",2
"Russian,German,English,",2
"Mandarin,Korean,English,",2
"German,English,Turkish,",2
"Italian,Turkish,",2
"Spanish,Arabic,English,",2
"Afrikaans,English,Zulu,",2
"Malay,English,",2
"Italian,Russian,Latin,",2
"English,Spanish,Russian,",2
"Slovenian,Italian,",2
"Finnish,Russian,",2
"English,Ukrainian,Russian,",2
"English,Spanish,Russian,Italian,",2
"English,Turkish,Arabic,",2
"Galician,Spanish,",2
"Hindi,Japanese,",2
"English,Cantonese,Mandarin,",2
"Turkish,French,English,",2
"Cantonese,Japanese,English,",2
"Spanish,English,Portuguese,",2
"French,Korean,",2
"Norwegian,German,",2
"English,Akan,",2
"German,Italian,Latin,",2
"None,English,",2
"Romanian,German,",2
"Hindi,English,Marathi,",2
"Italian,Sardinian,",2
"Persian,German,",2
"Czech,Polish,",2
"Russian,Japanese,",2
"Mandarin,English,Japanese,French,",2
"French,Vietnamese,",2
"Aboriginal,Japanese,Hokkien,",2
"English,Serbo-Croatian,",2
"Urdu,Punjabi,",2
"German,Norwegian,English,",2
"Turkish,German,English,",2
"Portuguese,English,Spanish,Italian,",2
"Norwegian,Swedish,English,",2
"French,Persian,",2
"Indonesian,English,",2
"Filipino,Tagalog,English,Spanish,",2
"Mandarin,English,French,",2
"English,French,German,Italian,",2
"Korean,English,French,",2
"Chinese,English,Japanese,",2
"German,English,Russian,",2
"English,Sioux,",2
"Mandarin,Russian,",2
"Mandarin,Japanese,English,",2
"French,English,Latin,",2
"Turkish,Greek,English,",2
"Yakut,Russian,",2
"English,Greek,Turkish,",2
"English,French,Greek,",2
"Bengali,English,",2
"English,Yoruba,",2
"Mandarin,Thai,",2
"Filipino,Tagalog,English,French,",2
"Romanian,Italian,",2
"Greenlandic,Danish,",2
"Spanish,Catalan,Italian,",2
"English,Italian,French,Japanese,",2
"Danish,English,French,",2
"French,Portuguese,English,",2
"Italian,English,German,",2
"English,French,Japanese,",2
"Lithuanian,English,Russian,",2
"English,Arabic,French,Spanish,",2
"Italian,Mandarin,",2
"German,Bosnian,English,",2
"Korean,English,Mandarin,Japanese,",2
"English,Chinese,Arabic,",2
"English,Italian,Russian,",2
"English,French,Spanish,German,",2
"English,Spanish,Sanskrit,",2
"French,Wolof,",2
"French,English,Portuguese,",2
"English,Italian,Arabic,",2
"German,Greek,English,",2
"Korean,Hindi,",2
"Norwegian,English,German,",2
"English,Arabic,Persian,",2
"Japanese,Indonesian,English,",2
"Filipino,Tagalog,English,Japanese,",2
"Serbian,German,",2
"Kyrgyz,",2
"Portuguese,Cantonese,English,",2
"Portuguese,German,",2
"Telugu,English,",2
"Quechua,Spanish,",2
"Danish,Swedish,English,",2
"Filipino,Tagalog,Korean,",2
"Punjabi,English,",2
"Chinese,Japanese,",2
"English,Filipino,",2
"French,Russian,Hebrew,",2
"French,Mandarin,",2
"Hebrew,English,",2
"German,Arabic,",2
"Finnish,English,Czech,Swedish,Russian,",2
"French,Hebrew,English,",2
"English,Dutch,German,",2
"Spanish,English,German,",2
"Georgian,Russian,",2
"Arabic,Spanish,",2
"Russian,Hebrew,",2
"French,English,Icelandic,",2
"Polish,English,Spanish,",2
"Italian,Portuguese,",2
"English,Spanish,Latin,",2
"Tagalog,English,",2
"Punjabi,Haryanvi,",2
"English,Australian Sign Language,",2
"Russian,English,Spanish,",2
"Italian,Neapolitan,English,",2
"Greek,English,Turkish,",2
"Polish,German,Russian,",2
"Hungarian,Russian,",2
"Arabic,Hebrew,English,",2
"Malayalam,Tamil,",2
"English,Portuguese,Spanish,",2
"English,French,Arabic,",2
"English,Vietnamese,French,",2
"Korean,Mandarin,English,",2
"Mandarin,Tibetan,",2
"Cantonese,Chinese,",2
"Estonian,Russian,",2
"English,North American Indian,Spanish,",2
"English,Spanish,Quechua,",2
"English,Swahili,",2
"Tulu,",2
"Swedish,Spanish,English,Serbian,Arabic,",2
"Swedish,English,Polish,",2
"Mandarin,Shanghainese,",2
"Portuguese,Danish,English,",2
"Icelandic,English,German,",2
"Chinese,Mandarin,Cantonese,English,",2
"German,English,Spanish,",2
"English,Tamil,",2
"Urdu,English,",2
"German,English,Polish,",2
"English,Hindi,Spanish,",2
"Russian,Ukrainian,English,",2
"Catalan,Spanish,French,",2
"Hindi,Telugu,",2
"Danish,German,",2
"English,Italian,Latin,",2
"Hebrew,Italian,",2
"English,Norwegian,French,",2
"Greek,Turkish,",2
"Hindi,English,Punjabi,",2
"English,Hindi,Marathi,",2
"Spanish,Russian,",2
"Korean,English,German,",2
"Neapolitan,Italian,",2
"Italian,English,Dutch,German,",2
"Chinese,Tibetan,",2
"Polish,Romany,",2
"Basque,English,Spanish,",2
"Danish,Norwegian,",2
"Japanese,English,Korean,",2
"English,Latin,French,",2
"Spanish,Catalan,English,",2
"English,Mandarin,Russian,",2
"Spanish,Catalan,Portuguese,",2
"Russian,Yiddish,",2
"Japanese,English,Chinese,",2
"English,Spanish,Hindi,",2
"Telugu,Tamil,Hindi,",2
"Japanese,Min Nan,",2
"English,Spanish,Italian,French,",2
"English,Xhosa,",2
"Mandarin,Mongolian,",2
"Slovak,English,",2
"English,Hindi,French,",2
"Catalan,Spanish,English,",2
"Japanese,Latin,",1
"Spanish,English,Cantonese,",1
"Russian,Tatar,",1
"Hindi,Punjabi,Marathi,Gujarati,",1
"Cantonese,Mandarin,Min Nan,",1
"French,English,Ukrainian,Spanish,Italian,",1
"Swiss German,German,English,Italian,",1
"Norwegian,Spanish,Turkish,",1
"Italian,German,French,English,Spanish,",1
"Romanian,French,Spanish,English,German,",1
"French,Serbo-Croatian,",1
"English,Tamil,Hindi,Telugu,",1
"English,Hindi,Konkani,",1
"Spanish,French,English,Italian,German,",1
"English,Tswana,",1
"Persian,Turkish,English,",1
"English,Spanish,French,German,Lingala,Arabic,",1
"English,Japanese,Hokkien,Mandarin,",1
"English,Italian,Dutch,",1
"English,German,Abkhazian,Hindi,Japanese,",1
"French,German,English,Romany,",1
"Serbian,English,Arabic,",1
"German,Czech,Latin,",1
"French,Albanian,",1
"Mandarin,Cantonese,English,Hindi,",1
"Swedish,English,Russian,Arabic,",1
"English,Cantonese,Mandarin,Portuguese,",1
"Turkish,Georgian,",1
"Lao,Thai,",1
"English,Portuguese,Polish,Spanish,",1
"Bengali,English,Malay,",1
"Armenian,Russian,French,",1
"Finnish,English,Swedish,",1
"Malayalam,English,Tamil,",1
"French,German,Spanish,Russian,Catalan,",1
"French,Italian,German,English,",1
"Finnish,English,Russian,",1
"Norwegian,Danish,German,",1
"Hindi,English,Punjabi,Tamil,",1
"French,Italian,English,German,Greek,Spanish,",1
"Swedish,English,Arabic,",1
"Russian,German,Ukrainian,",1
"Mandarin,Arabic,English,",1
"English,Spanish,Flemish,",1
"Hindi,Gujarati,",1
"Russian,English,Georgian,Lithuanian,",1
"Malay,Vietnamese,English,",1
"Dutch,Flemish,French,English,Spanish,",1
"Cantonese,English,Mandarin,Italian,Klingon,",1
"Thai,Hmong,",1
"Spanish,German,English,French,",1
"Greek,English,German,",1
"Mandarin,English,Japanese,Portuguese,",1
"English,Russian,Hindi,Punjabi,",1
"Kodava,",1
"German,Norwegian,English,Russian,Danish,",1
"English,Russian,Afrikaans,",1
"English,French,Polish,",1
"Russian,Armenian,English,",1
"English,Hawaiian,Japanese,",1
"English,Afrikaans,French,",1
"Mandarin,Japanese,Cantonese,",1
"English,Japanese,Italian,French,",1
"Italian,English,French,German,",1
"English,French,Arabic,Spanish,",1
"English,Greek,French,",1
"Indonesian,German,",1
"Dutch,Norwegian,English,",1
"English,Polish,Cantonese,Italian,",1
"English,Spanish,Swiss German,",1
"Mandarin,English,Japanese,Italian,",1
"Italian,French,German,English,",1
"Central Khmer,Mandarin,Vietnamese,English,Thai,French,",1
"English,Norwegian,Latin,",1
"English,North American Indian,",1
"English,German,Hebrew,Latin,Italian,French,",1
"Russian,Latin,",1
"English,German,Arabic,Urdu,",1
"German,French,Persian,English,Italian,",1
"English,Spanish,French,German,Hebrew,",1
"English,Middle English,Old English,Latin,German,",1
"English,Russian,French,Persian,Korean,",1
"English,Dari,Russian,Spanish,Uzbek,",1
"English,Papiamento,",1
"Hindi,English,Urdu,Russian,",1
"English,Romany,Romanian,Ukrainian,",1
"Russian,German,English,Portuguese,French,Spanish,",1
"English,Vietnamese,Shoshoni,",1
"French,Kurdish,English,Arabic,",1
"Korean,English,Mandarin,",1
"Mandarin,Japanese,French,Russian,English,",1
"Spanish,German,Hebrew,",1
"Persian,Azerbaijani,Turkish,",1
"French,English,Bulgarian,",1
"English,Swedish,French,Vietnamese,Russian,Hebrew,",1
"Mandarin,English,Min Nan,",1
"German,English,Dutch,Albanian,",1
"Spanish,Guarani,Korean,",1
"Portuguese,Brazilian Sign Language,",1
"Spanish,French,German,",1
"Chinese,Mandarin,Korean,",1
"Spanish,French,English,Russian,",1
"German,Turkish,English,Mandarin,French,",1
"English,French,Swedish,",1
"German,English,Polish,Swedish,",1
"Xhosa,",1
"French,Dutch,",1
"Spanish,Hindi,English,Chinese,Tamil,Telugu,Japanese,",1
"Japanese,Chinese,English,Malay,",1
"French,Armenian,English,Russian,",1
"Mandarin,Central Khmer,",1
"Turkish,Persian,",1
"Thai,Central Khmer,",1
"English,Korean,Mandarin,",1
"French,English,Italian,German,Yiddish,",1
"English,French,Urdu,",1
"Serbian,Italian,",1
"French,Romanian,Flemish,",1
"Aboriginal,English,",1
"English,Spanish,Russian,French,",1
"English,Hebrew,German,",1
"English,Nyanja,Bemba,Tonga (Tonga Islands),",1
"Serbian,Spanish,English,",1
"Korean,Tagalog,English,",1
"Swedish,German,",1
"English,Tonga (Tonga Islands),",1
"Italian,Neapolitan,English,Latin,",1
"Spanish,Tzotzil,",1
"Danish,Thai,English,",1
"English,German,Scots,",1
"English,Saami,",1
"English,Japanese,Thai,Cantonese,Mandarin,",1
"English,Hindi,Bengali,Kannada,Telugu,Tamil,Assamese,Gujarati,Urdu,Oriya,Punjabi,Malayalam,Marathi,Rajasthani,Haryanvi,Nepali,",1
"English,French,Italian,Russian,Spanish,",1
"English,Chinese,Persian,",1
"English,Lingala,French,",1
"English,French,Gaelic,Latin,",1
"English,Portuguese,Spanish,Italian,French,",1
"French,Xhosa,English,",1
"French,Wolof,Arabic,Spanish,English,",1
"English,Spanish,Arabic,",1
"English,Portuguese,Swahili,French,",1
"Hindi,English,Russian,",1
"English,Spanish,Polish,",1
"Croatian,Bosnian,Albanian,Serbian,",1
"Polish,German,English,",1
"English,Apache languages,",1
"English,Pashtu,Arabic,",1
"English,Romanian,Spanish,",1
"English,German,Dutch,Danish,French,American Sign Language,",1
"Mandarin,Hmong,",1
"English,Spanish,Portuguese,",1
"English,Chinese,Japanese,",1
"English,Spanish,Arabic,Polish,Turkish,Russian,Italian,Persian,",1
"English,Spanish,Latin,Italian,",1
"Greek,English,Arabic,German,",1
"Russian,Central Khmer,French,",1
"English,Persian,Ukrainian,",1
"Portuguese,English,Polish,",1
"English,Spanish,Hungarian,",1
"Spanish,Mixtec,English,Japanese,German,French,Norwegian,",1
"English,Hebrew,Arabic,",1
"English,Russian,French,Lithuanian,German,",1
"English,Russian,Filipino,Ukrainian,",1
"English,Cantonese,Russian,Hindi,Spanish,",1
"Kannada,Hindi,Malayalam,Telugu,Tamil,",1
"French,Polish,Spanish,English,",1
"English,Spanish,Dutch,",1
"German,French,Russian,English,",1
"English,French,German,Arabic,",1
"English,Russian,Ukrainian,",1
"Swedish,German,Finnish,",1
"Thai,English,Mandarin,Cantonese,",1
"English,Japanese,Chinese,",1
"English,Portuguese,Arabic,",1
"English,German,Japanese,Serbian,",1
"English,French,German,Serbian,",1
"English,Russian,Korean,",1
"English,Hindi,Bengali,Urdu,",1
"Italian,German,Latin,English,Spanish,Polish,French,",1
"Italian,Russian,French,Arabic,",1
"Turkish,Swahili,",1
"Maori,English,",1
"French,English,Thai,Serbian,",1
"Korean,Japanese,English,",1
"Hokkien,Mandarin,Malay,",1
"Italian,Romanian,English,",1
"English,Danish,French,",1
"Russian,Spanish,Finnish,",1
"Yoruba,English,Ibo,Hausa,",1
"Catalan,Spanish,French,English,Russian,German,Swedish,Arabic,Italian,",1
"Low German,Dutch,",1
"Korean,Vietnamese,",1
"Romanian,English,Spanish,French,",1
"Turkish,Latvian,",1
"Arabic,English,Dutch,",1
"German,English,Polish,Russian,",1
"Russian,German,French,Yiddish,",1
"French,Wolof,Romanian,Norwegian,",1
"Danish,Swedish,English,Spanish,",1
"Dutch,Arabic,French,Turkish,English,",1
"Mandarin,Tagalog,English,Hokkien,",1
"English,Mandarin,Japanese,",1
"Montagnais,French,English,",1
"French,Polynesian,",1
"English,French,Flemish,Berber languages,",1
"Italian,English,Arabic,Hebrew,",1
"English,Spanish,French,Swahili,German,",1
"English,Hindi,Bengali,",1
"English,French,Italian,German,Hungarian,",1
"Norwegian,Swedish,Saami,",1
"English,Navajo,Mandarin,",1
"French,Spanish,Catalan,English,",1
"German,Bulgarian,English,",1
"Armenian,Arabic,Turkish,Kurdish,Spanish,English,",1
"English,American Sign Language,Russian,",1
"French,German,Yiddish,",1
"English,Spanish,Russian,Japanese,Cantonese,Dutch,",1
"Spanish,French,Basque,",1
"Xhosa,Sotho,English,Afrikaans,",1
"Cantonese,Mandarin,English,Portuguese,",1
"English,Hindi,Punjabi,Rajasthani,",1
"Yiddish,English,Spanish,",1
"Spanish,Polish,",1
"Polish,Latin,English,",1
"Mandarin,English,Macedonian,",1
"French,English,Russian,Chechen,",1
"Portuguese,German,English,",1
"English,Irish Gaelic,Aboriginal,",1
"French,Kirundi,Swahili,",1
"Hindi,English,Bengali,Dari,",1
"Portuguese,Spanish,French,",1
"Spanish,Vietnamese,",1
"Korean,Japanese,Sanskrit,",1
"English,French,Italian,German,Latin,",1
"German,Hindi,",1
"Basque,English,Spanish,French,",1
"Polish,Romany,Latin,English,",1
"Spanish,English,Serbian,",1
"Xhosa,Afrikaans,English,",1
"Japanese,Mandarin,Cantonese,",1
"Romanian,English,Hungarian,Spanish,German,",1
"English,Spanish,Persian,",1
"English,Flemish,French,Bulgarian,",1
"Ukrainian,English,Hungarian,Russian,",1
"Serbian,German,Albanian,Italian,",1
"Lithuanian,English,French,",1
"Italian,Sicilian,Amharic,",1
"Hungarian,English,Latin,Arabic,",1
"Cantonese,Mandarin,Japanese,Shanghainese,Min Nan,",1
"Polish,Yiddish,Hebrew,German,",1
"English,Lithuanian,",1
"Italian,Swiss German,",1
"English,Finnish,Mandarin,",1
"Croatian,Serbian,Serbo-Croatian,",1
"French,Dutch,Arabic,Lingala,",1
"Hungarian,Japanese,",1
"Chinese,English,Mandarin,Cantonese,",1
"Hindi,Gujarati,Punjabi,English,",1
"Indonesian,Mandarin,Tibetan,Chinese,",1
"Estonian,English,",1
"Hindi,Haryanvi,",1
"Hungarian,Vietnamese,Russian,",1
"French,English,Serbian,",1
"Korean,English,Japanese,",1
"French,Russian,Chinese,",1
"Albanian,German,",1
"Korean,English,Russian,",1
"Portuguese,English,Mandarin,Persian,",1
"None,French,",1
"Hindi,Tamil,English,French,",1
"Lao,",1
"German,English,Yiddish,Spanish,French,",1
"Turkish,Kurdish,Armenian,",1
"English,Korean,Japanese,Thai,Malay,Cantonese,Mandarin,",1
"French,German,English,Polish,",1
"English,Inuktitut,Spanish,",1
"Spanish,English,Cantonese,Mandarin,",1
"Japanese,Korean,English,",1
"Polish,English,Russian,",1
"Danish,Persian,English,",1
"French,Haitian,English,",1
"Russian,Ukrainian,English,French,",1
"English,French,Dutch,Arabic,Somali,",1
"English,Georgian,Spanish,",1
"Spanish,English,Spanish Sign Language,",1
"Czech,German,English,",1
"French,Chinese,Portuguese,",1
"Papiamento,Dutch,",1
"Spanish,Danish,French,",1
"Portuguese,English,Mandarin,Mirandese,Latin,",1
"Aboriginal,",1
"English,Scots,Latin,",1
"Swedish,English,Russian,French,",1
"Slovak,Polish,",1
"Mandarin,Cantonese,English,Shanghainese,",1
"English,Portuguese,Aboriginal,",1
"English,French,Italian,German,",1
"Marathi,Gujarati,English,Hindi,",1
"Italian,English,French,",1
"Basque,Spanish,Catalan,",1
"Spanish,English,German,Basque,",1
"Hindi,English,Urdu,German,",1
"French,Portuguese,German,",1
"English,Urdu,Spanish,",1
"Norwegian,English,Arabic,Swahili,French,",1
"English,Russian,Portuguese,",1
"English,German,Spanish,Italian,",1
"Hebrew,German,",1
"Italian,Bengali,",1
"Cantonese,English,Thai,",1
"Portuguese,English,French,Spanish,",1
"English,Danish,Swedish,Polish,French,",1
"Swedish,English,German,Russian,",1
"English,Polish,Arabic,",1
"Cantonese,English,Japanese,Hungarian,",1
"Dutch,Polish,",1
"Korean,Italian,",1
"Telugu,Kannada,Malayalam,",1
"English,German,Czech,",1
"Finnish,English,Russian,Swedish,",1
"English,Cantonese,French,",1
"Portuguese,English,Dutch,",1
"Tajik,",1
"Hindi,Punjabi,Urdu,English,",1
"Icelandic,Swedish,English,Spanish,Russian,",1
"Italian,German,Neapolitan,English,",1
"Mandarin,Cantonese,Russian,",1
"Hebrew,French,Arabic,",1
"Dutch,Flemish,English,",1
"English,Spanish,Italian,German,French,",1
"Korean,Hindi,Japanese,Spanish,Catalan,Basque,",1
"Filipino,Tagalog,English,Malay,",1
"English,Bengali,Japanese,",1
"Turkish,English,Russian,",1
"Kazakh,Mongolian,",1
"Bengali,Spanish,English,",1
"Swedish,English,Thai,",1
"French,English,Italian,Russian,Arabic,",1
"French,Mohawk,English,Ojibwa,Latin,",1
"Tamil,Hindi,Telugu,",1
"Spanish,Albanian,Catalan,",1
"Mandarin,Spanish,Russian,",1
"Hungarian,Slovak,Czech,",1
"Arabic,English,French,",1
"Slovenian,German,Serbian,",1
"Hindi,English,Urdu,",1
"French,Sign Languages,",1
"Slovak,German,English,Russian,",1
"English,Malayalam,",1
"Croatian,French,Serbian,English,",1
"Spanish,Italian,English,",1
"English,Hawaiian,Russian,",1
"English,Korean,Icelandic,Russian,",1
"German,Greek,Italian,",1
"English,French,Mandarin,German,",1
"Spanish,Portuguese,Visayan,",1
"Czech,Slovak,English,French,",1
"Spanish,Chinese,Wolof,",1
"Polish,Ukrainian,Russian,",1
"Ukrainian,Russian,English,",1
"German,Romanian,Turkish,",1
"Italian,Dutch,",1
"Xhosa,English,Afrikaans,",1
"Hebrew,German,English,Yiddish,",1
"English,Chinese,Korean,",1
"English,Dutch,Hungarian,",1
"Hindi,Bengali,English,",1
"French,Spanish,English,Danish,",1
"Korean,Chinese,English,Spanish,Japanese,",1
"Dutch,French,Spanish,Arabic,English,",1
"Tamil,Telugu,Punjabi,",1
"Cantonese,Mandarin,Thai,English,",1
"French,Slovak,Russian,",1
"English,Navajo,Spanish,",1
"French,Italian,Romanian,",1
"English,Greek,German,",1
"Hebrew,Yiddish,",1
"Spanish,German,Basque,",1
"Italian,Sicilian,",1
"English,Urdu,Kashmiri,",1
"French,Lingala,Portuguese,",1
"Bosnian,Serbian,Croatian,",1
"English,French,German,Latin,",1
"English,Spanish,Chinese,Latin,",1
"Icelandic,Polish,Serbian,",1
"French,Arabic,English,Hebrew,",1
"Welsh,",1
"Croatian,Bosnian,Serbian,English,Slovenian,",1
"French,Greek,",1
"Chinese,Mandarin,Shanghainese,English,",1
"Dutch,Danish,",1
"Dutch,English,Romanian,",1
"English,Russian,Turkish,",1
"Arabic,Hebrew,English,German,",1
"Italian,English,Croatian,",1
"Hindi,Gujarati,Marathi,English,",1
"Swedish,French,English,",1
"Basque,Spanish,English,French,",1
"Catalan,Spanish,German,English,",1
"Cantonese,English,Chinese,",1
"German,Estonian,French,Russian,",1
"Turkish,English,Kurdish,",1
